200000,104,35785,1,10,3,,,,,
200000,104,70472,101,10,3,,,,,
200000,104,62574,101,10,3,,,,,
200000,104,91942,101,10,3,,,,,
200000,104,68261,101,10,3,,,,,
200000,104,77231,101,10,3,,,,,64473.9
200000,104,79104,101,10,3,,,,,
200000,104,53829,1,10,3,,,,,
200000,104,39919,14,10,3,,,,,
200000,104,65622,1,10,3,,,,,
100000,104,5877,1,10,4,,,,,
100000,104,9504,64,10,4,,,,,
100000,104,11105,64,10,4,,,,,
100000,104,8405,64,10,4,,,,,
100000,104,9845,64,10,4,,,,,
100000,104,8974,64,10,4,,,,,
100000,104,7550,69,10,4,,,,,8861.2
100000,104,7822,12,10,4,,,,,
100000,104,10504,64,10,4,,,,,
100000,104,9026,1,10,4,,,,,
150000,104,18606,1,11,4,,,,,
150000,104,28979,2,11,4,,,,,
150000,104,26248,1,11,4,,,,,
150000,104,13539,1,11,4,,,,,
150000,104,30948,1,11,4,,,,,
150000,104,23332,1,11,4,,,,,
150000,104,31412,1,11,4,,,,,
150000,104,15124,4,11,4,,,,,
150000,104,7659,6,11,4,,,,,
150000,104,8030,1,11,4,,,,,
100000,104,26359,1,10,4
100000,104,17094,1,10,4
100000,104,19523,60,10,4
100000,104,17115,1,10,4
100000,104,7382,1,10,4
10000,104,735,1,10,3
