"200,000",104,35109,1,10,3,,,
"200,000",104,59102,1,10,3,,,
"200,000",104,58976,1,10,3,,,
"200,000",104,59046,1,10,3,,,
"200,000",104,55534,1,10,3,,,55024
"200,000",104,59001,1,10,3,,,
"200,000",104,87571,12,10,3,,,
"200,000",104,35796,1,10,3,,,
"200,000",104,35556,2,10,3,,,
"200,000",104,64549,10,10,3,,,
100000,104,6970,1,10,4,,,
100000,104,6736,1,10,4,,,
100000,104,6882,1,10,4,,,
100000,104,6707,1,10,4,,,7285.4
100000,104,7014,1,10,4,,,
100000,104,6630,1,10,4,,,
100000,104,6829,1,10,4,,,
100000,104,7370,88,10,4,,,
100000,104,9069,5,10,4,,,
100000,104,8647,78,10,4,,,
150000,104,15569,1,10,3,,,
150000,104,18993,1,10,3,,,
150000,104,18440,3,10,3,,,
150000,104,14910,3,10,3,,,
150000,104,26924,1,10,3,,,
150000,104,14918,1,10,3,,,
150000,104,16768,1,10,3,,,
150000,104,17321,1,10,3,,,
150000,104,28309,6,10,3,,,
150000,104,30742,1,10,3,,,
150000,104,34147,93,10,3
150000,104,30572,7,10,3
100000,104,9389,1000000,10,4
10000,104,9550,1000000,10,3
1000,10,8907,1000000,10,3
